gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,hfd_mean,geol_1st_class,glim_1st_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,low_prec_timing,gauge_lat,gauge_lon,elev_mean,area_gages2,area_geospa_fabric,soil_depth_pelletier,soil_depth_statsgo,max_water_content,sand_frac,silt_frac,clay_frac,other_frac,frac_forest,lai_max,gvf_max,dom_land_cover_frac,dom_land_cover,basin_hydro_unit,nwm,lstm,lstmnwm,lstmnwm-nwm,lstmnwm-lstm
1022500,2.173062,0.6022689999999999,1.7762799999999999,0.554478,1.702782,0.204734,7.123049000000001,3.9,2.294118,65.15,17.144737,166.25,2,0.590658,0.0,0.071,-14.2138,3.6081260000000004,2.119256,-0.11452999999999999,0.245259,0.587356,20.55,1.205279,233.65,3.6622260000000004,3,44.60797,-67.93524000000001,92.68,573.6,620.38,17.412808,1.491846,0.626229,59.390156000000005,28.080937,12.037646,0.35847199999999996,0.9232,4.871392,0.863936,0.820493,1,01,0.7019193040845595,0.7478910020343987,0.7537119740135891,0.051792669929029644,0.0058209719791904035
1031500,2.030242,0.576289,1.494019,0.44509099999999996,1.648693,0.111345,8.010503,18.9,3.286957,94.8,14.697674,181.0,1,0.448928,0.026258,0.0747,-14.841,3.522957,2.071324,0.104091,0.29183600000000004,0.58795,18.9,1.148936,227.35,3.473644,1,45.17501,-69.3147,247.8,769.05,766.53,7.252557,1.279047,0.5591229999999999,35.26903,50.841232,12.654125,0.0,0.9548,4.903258999999999,0.870668,1.0,1,01,0.6808839198006542,0.7605501086763241,0.7779740332945744,0.09709011349392016,0.017423924618250264
1047000,2.18287,0.656868,1.4159389999999998,0.47346499999999997,1.510238,0.196458,8.095148,14.95,2.577586,71.55,12.776786,184.8,3,0.308488,0.0,0.0522,-14.4819,3.323146,2.090024,0.147776,0.280118,0.628929,20.1,1.165217,235.9,3.691706,1,44.8692,-69.9551,310.38,909.1,904.94,5.359655,1.392779,0.561181,55.163132999999995,34.185443,10.303622,0.147867,0.9906,5.086811,0.891383,0.85045,1,01,0.7122381989167423,0.843349946049897,0.7954987619715308,0.08326056305478846,-0.047851184078366193
1052500,2.405105,0.644652,1.3010620000000002,0.4597,1.025555,0.305965,8.669019,14.1,2.517857,58.9,7.31677,197.2,1,0.497458,0.0,0.0711,-15.1658,3.730858,2.096423,0.152097,0.352698,0.561914,13.5,1.129707,193.5,2.896707,2,44.877390000000005,-71.05749,615.7,383.82,396.1,1.301349,1.494807,0.615538,30.557665999999998,52.61464599999999,11.143326,5.675527,1.0,4.80083,0.880034,0.593588,1,01,0.6238075460075757,0.8140059203770195,0.8310857423578895,0.20727819635031375,0.01707982198086999
1054200,2.7317419999999997,0.671663,1.3196450000000002,0.43705,1.357808,0.256851,10.095605,16.05,1.8882349999999999,82.2,9.963636,183.45,3,0.8714430000000001,0.0,0.0288,-14.2147,4.067132,2.128355,0.10496,0.299642,0.523306,17.5,1.194539,220.3,3.263704,2,44.390440000000005,-70.97964,472.31,180.98,181.33,0.9147540000000001,1.477442,0.594526,58.376169,31.836471999999997,9.851262,0.0,1.0,5.019826999999999,0.886711,0.580954,1,01,0.7806872464064093,0.7639748728882514,0.7893062786105277,0.008619032204118415,0.025331405722276323
1055000,2.279897,0.6524840000000001,1.349312,0.43813199999999997,1.366587,0.18546500000000002,8.441583999999999,16.25,2.056962,83.6,8.941175999999999,186.05,1,0.680843,0.0,0.1455,-14.3578,3.494183,2.093235,0.167229,0.30604899999999996,0.599063,19.15,1.167683,224.85,3.3786629999999995,2,44.64275,-70.58878,423.12,250.64,251.16,2.127059,1.369657,0.547021,53.862010999999995,34.734491999999996,10.346323,0.778016,0.9916,5.030033,0.8861629999999999,0.524249,1,01,0.7035381804677194,0.6759011772826313,0.736396843070965,0.03285866260324555,0.06049566578833365
1057000,1.823551,0.510727,1.533232,0.47467700000000007,1.280681,0.078169,6.866097,13.85,2.429825,82.95,13.825,178.05,3,0.451111,0.077433,0.0251,-13.9903,3.5705,2.1327439999999998,0.079137,0.251158,0.597324,20.35,1.16954,239.3,3.747847,1,44.30399,-70.53968,215.59,190.92,197.7,3.759146,1.5,0.6171,69.006738,22.943292,7.817564999999999,0.0,0.9415,5.3629489999999995,0.90551,0.5327810000000001,2,01,0.7064921620061803,0.8041013817647659,0.8063051491375057,0.09981298713132547,0.002203767372739862
1073000,1.7031939999999999,0.48620699999999994,1.7801069999999999,0.501892,2.2787889999999997,0.065815,5.784236,7.85,2.211268,96.0,12.467532,168.75,3,0.943375,0.0,0.01,-14.1,3.503025,2.207616,0.030369999999999998,0.175032,0.630203,20.85,1.2264709999999999,249.0,4.016129,3,43.1487,-70.96506,37.67,31.3,32.11,19.909091,1.30562,0.510062,56.570961,29.155056,9.967266,4.244209,0.9008,4.94395,0.8414209999999999,0.592432,1,01,0.7810611454806755,0.8244151277568739,0.744119285533448,-0.03694185994722754,-0.0802958422234259
1078000,1.7558029999999998,0.492803,1.499491,0.49118900000000004,1.5266540000000002,0.145171,6.616289999999999,12.05,3.0506330000000004,69.55,12.419642999999999,180.7,2,0.53565,0.0,0.011000000000000001,-14.1061,3.5628879999999996,2.184145,0.110482,0.23971900000000002,0.6130260000000001,21.45,1.172131,234.5,3.6160370000000004,1,43.56646,-71.74786,346.92,222.46,221.86,3.639785,1.5,0.618975,69.15740600000001,22.806278,7.848279,0.0,0.9873,5.391687,0.898651,0.8074439999999999,1,01,0.6795584660026379,0.7872677864307756,0.8208497813386679,0.14129131533603,0.033581994907892376
1123000,1.7373349999999999,0.454295,1.8089080000000002,0.585542,0.96314,0.21684499999999998,5.0282860000000005,4.55,1.4,58.1,9.149606,159.1,3,1.0,0.0,0.01,-14.1,3.824242,2.306334,-0.00119,0.136053,0.603082,21.15,1.233236,241.1,3.879324,4,41.67177,-72.0523,120.1,77.85,84.21,9.085106,1.5,0.53385,52.746894999999995,27.534638,8.689368,11.025043,0.9141,5.403097,0.907407,1.0,2,01,0.5138767212399278,0.7609420493235107,0.7261727124891828,0.21229599124925502,-0.034769336834327924
