year  nDays  P  Q  P-Q   Q/P  (P-Q)/p
1980.0 366.0 3281.6800056919456 2653.4629186037837 628.2170870881619 0.8085684509158285 0.19143154908417148
1981.0 364.0 3346.260020336136 2327.9566391539306 1018.3033811822056 0.6956891051521108 0.3043108948478892
1982.0 364.0 3701.960008777678 2761.6847344560224 940.2752743216556 0.7460060962052051 0.2539939037947949
1983.0 364.0 3839.3000038079917 2402.7722652662637 1436.527738541728 0.6258360281517686 0.37416397184823136
1984.0 365.0 3641.9200084190816 2407.780431870665 1234.1395765484167 0.6611294114929934 0.33887058850700663
1985.0 364.0 2534.350003371015 2287.283697870383 247.0663055006321 0.9025129499982237 0.09748705000177631
1986.0 364.0 3298.6700139474124 2254.5403537104753 1044.129660236937 0.6834695026110051 0.31653049738899486
1987.0 364.0 2523.9800017401576 1885.5379018030235 638.4420999371341 0.7470494617639758 0.2529505382360242
1988.0 365.0 3592.549985734746 2578.7639042138544 1013.7860815208915 0.7178087749519364 0.28219122504806365
1989.0 364.0 3119.480006057769 2380.3521272688604 739.1278787889087 0.7630605494013155 0.23693945059868446
1990.0 364.0 4497.540000800043 3287.045093733266 1210.4949070667772 0.7308539986633918 0.26914600133660815
1991.0 364.0 3175.5899855084717 2604.3877958478984 571.2021896605734 0.8201272228885955 0.17987277711140442
1992.0 365.0 2849.6099838279188 1780.6180389326098 1068.991944895309 0.6248637704941931 0.37513622950580694
1993.0 364.0 2432.3400076515973 1809.2001858403305 623.1398218112668 0.7438105610847956 0.25618943891520446
1994.0 364.0 3400.0600078795105 2112.458176146857 1287.6018317326534 0.6213002627163389 0.37869973728366113
1995.0 364.0 3800.050003055483 3210.523253998357 589.5267490571259 0.8448634232225606 0.15513657677743944
1996.0 365.0 3689.640004651621 2492.4098550423614 1197.2301496092596 0.675515728336672 0.32448427166332805
1997.0 364.0 3461.4600189439952 3442.378045437701 19.081973506294162 0.9944873049517078 0.00551269504829225
1998.0 364.0 2957.7100083697587 2043.8904833718761 913.8195249978826 0.6910381604647019 0.3089618395352981
1999.0 364.0 2680.400006443262 3111.611963561413 -431.2119571181511 1.1608759722733863 -0.16087597227338643
2000.0 365.0 2559.499990556389 2018.2113546061664 541.2886359502227 0.7885178206886587 0.2114821793113413
2001.0 364.0 2540.0000072512776 1795.495239728042 744.5047675232356 0.7068878876386621 0.29311211236133794
2002.0 364.0 2535.7300042230636 2653.6900045895254 -117.96000036646183 1.0465191483990837 -0.0465191483990837
2003.0 364.0 3190.640001028776 2793.274236310014 397.36576471876197 0.875458915894417 0.12454108410558291
2004.0 365.0 2665.7800080887973 2371.5632858748604 294.2167222139369 0.8896320321552443 0.11036796784475568
2005.0 364.0 2503.370014736429 1806.9722881964658 696.3977265399631 0.7218159031862957 0.27818409681370426
2006.0 364.0 3214.200001226738 2565.3228688417494 648.8771323849887 0.7981217310256559 0.20187826897434416
2007.0 364.0 2722.4300048220903 2828.9819732026795 -106.55196838058919 1.0391385520258958 -0.03913855202589582
2008.0 365.0 2560.8099922221154 2268.343499167951 292.4664930541644 0.8857914121147349 0.11420858788526506
2009.0 364.0 2810.27999481 2255.3750481445413 554.9049466654587 0.8025446049182814 0.19745539508171864
2010.0 364.0 2888.8400106113404 2246.7764679818365 642.0635426295039 0.7777434747957436 0.22225652520425646
2011.0 364.0 3469.7900114655495 2869.9801998171483 599.8098116484011 0.8271336854200416 0.1728663145799584
2012.0 365.0 2808.3800020422786 3101.055533954091 -292.6755319118124 1.104215074775841 -0.10421507477584094
2013.0 364.0 2256.5099904611707 2582.7900773664164 -326.28008690524575 1.1445950110057181 -0.14459501100571806
