year  nDays  P  Q  P-Q   Q/P  (P-Q)/p
1986.0 92.0 0.0 0.0 0.0 0.0 0.0
1987.0 364.0 0.0 1.1011321647986707 -1.1011321647986707 1.1011321647986707 -1.1011321647986707
1988.0 365.0 0.0 0.6351178183058767 -0.6351178183058767 0.6351178183058767 -0.6351178183058767
1989.0 364.0 0.0 0.37278444707859254 -0.37278444707859254 0.37278444707859254 -0.37278444707859254
1990.0 364.0 0.0 0.35061121566024855 -0.35061121566024855 0.35061121566024855 -0.35061121566024855
1991.0 364.0 0.0 1.0582047093787283 -1.0582047093787283 1.0582047093787283 -1.0582047093787283
1992.0 365.0 0.0 0.27353099794413965 -0.27353099794413965 0.27353099794413965 -0.27353099794413965
1993.0 364.0 0.0 1.9803196355947776 -1.9803196355947776 1.9803196355947776 -1.9803196355947776
1994.0 364.0 0.0 0.5062292708533461 -0.5062292708533461 0.5062292708533461 -0.5062292708533461
1995.0 364.0 0.0 2.5074768840762602 -2.5074768840762602 2.5074768840762602 -2.5074768840762602
1996.0 365.0 0.0 1.4972578710813715 -1.4972578710813715 1.4972578710813715 -1.4972578710813715
1997.0 364.0 0.0 1.3498932388671783 -1.3498932388671783 1.3498932388671783 -1.3498932388671783
1998.0 364.0 0.0 2.7789324665746764 -2.7789324665746764 2.7789324665746764 -2.7789324665746764
1999.0 364.0 0.0 1.7219440449593528 -1.7219440449593528 1.7219440449593528 -1.7219440449593528
2000.0 365.0 0.0 0.624412499173691 -0.624412499173691 0.624412499173691 -0.624412499173691
2001.0 364.0 0.0 0.5147143698245897 -0.5147143698245897 0.5147143698245897 -0.5147143698245897
2002.0 364.0 0.0 0.3588163723612067 -0.3588163723612067 0.3588163723612067 -0.3588163723612067
2003.0 364.0 0.0 0.19613222868465102 -0.19613222868465102 0.19613222868465102 -0.19613222868465102
2004.0 365.0 0.0 0.5407198920121108 -0.5407198920121108 0.5407198920121108 -0.5407198920121108
2005.0 364.0 0.0 2.750774291064571 -2.750774291064571 2.750774291064571 -2.750774291064571
2006.0 364.0 0.0 2.509909475138077 -2.509909475138077 2.509909475138077 -2.509909475138077
2007.0 364.0 0.0 0.27296146590133424 -0.27296146590133424 0.27296146590133424 -0.27296146590133424
2008.0 365.0 0.0 0.5444846115880949 -0.5444846115880949 0.5444846115880949 -0.5444846115880949
2009.0 364.0 0.0 0.8294738734638889 -0.8294738734638889 0.8294738734638889 -0.8294738734638889
2010.0 364.0 0.0 0.7625680504452725 -0.7625680504452725 0.7625680504452725 -0.7625680504452725
2011.0 364.0 0.0 3.538006078933527 -3.538006078933527 3.538006078933527 -3.538006078933527
2012.0 365.0 0.0 0.2852112835855019 -0.2852112835855019 0.2852112835855019 -0.2852112835855019
2013.0 364.0 0.0 0.16364945715094395 -0.16364945715094395 0.16364945715094395 -0.16364945715094395
